ReportName,WorkspacePublished,DataLocation,DataflowsUsed,TablesUsed,UpdateSchedule,LastUpdated,MigrationStatus,Notes
Combine Vault Sales,RP - Sandbox,LH_Master_Data,"df_Dim_Branch12_Parts, df_Fact_Branch12_Transactions, df_Dim_Date","dim_Branch12_Parts, Fact_Branch12_Transactions, dim_DateTable",Not Set,10/20/2025,New Structure,"New Report, New data structure, Waiting on Ben to verify"
First Pass Fill,RP - Parts Reports,LH - Parts_Data_Prep,DF_InHist_PmManage,InHist_PmManage_Pivot,Not Set,10/20/2025,Old Structure,Replace with New Version?
Negative On Hand-On Hand No Bin,RP - Parts Reports,LH - Parts_Data_Prep,DF_Negative_On_Hand_Report,"jdis_Part_Information_On_hand_No_Bin, jdis_Part_Information_Negative_On_Hand",Not Set,10/20/2025,Old Structure,Needs Update?
Unique Parts Customers,RP - Parts Reports,LH - Parts_Data_Prep,DF_Unique_Parts_Customers,"ArMaster_Customer_Unique, InTrans_Unique, Invoice",Not Set,10/20/2025,Old Structure,Replace with New Version?
Combine Vault Transfers,RP - Parts Reports,LH - Parts_Data_Prep,"DF_JDIS_Parts_Information_Combine_Vault, DF_InTrans_Combine_Vault_12","jdis_Parts_Info_Combine_Vault, InTrans_Combine_Vault_12",Not Set,10/20/2025,Old Structure,Replace with New Version?
Parts Sales with Low Margins,RP - Parts Reports,LH - Parts_Data_Prep,"DF_Part_Sales_With_Low_Margins, DF_InTrans_Combine_Vault_12","InTrans_Low_Margin, Parts_Low_Margin_jdis_InMaster, InMaster_Combine_Vault, ArMaster_Customer_Low",Not Set,10/20/2025,Old Structure,Needs Update?
Physical Inventory,RP - Parts Reports,LH - Parts_Data_Prep,DF_jdis_Parts_Information_Physical_Inventory,jdis_Phy_Inv,Not Set,10/20/2025,Old Structure,Needs Update?
Parts Adjustments,RP - Parts Reports,LH - Parts_Data_Prep,DF_Parts_Adjustments,"InTrans - Parts Adjust, jdis - Parts Adjust, GlTrans - Parts Adjust",Not Set,10/20/2025,Old Structure,Needs Update?
Parts with Open Orders,RP - Parts Reports,LH - Parts_Data_Prep,DF_Parts_On_Work_Orders,"Parts_Open_Tickets, Parts_Open_Tickets_Details",Not Set,10/20/2025,Old Structure,Needs Update?
Bin Location Report,RP - Parts Reports,LH_Master_Data,df_JDIS_PART_INFORMATION_Raw,jdis_Part_Information,Not Set,10/20/2025,New Structure,"New Report, New data structure"
60+ Days Past Due,RP - Financial Reports,LH - Financial_Data_Prep,DF_ArMaster_Financial,"ArMaster, ArMaster_Customer, InSalOrd_InSalPar",Not Set,10/20/2025,Old Structure,Needs Update?
Labor Performance,RP - Service Reports,LH - Service_Data_Prep,DF_Technician_Data,"Technician_Code_Names, TechnicianAttendance, TechnicianEfficiency, TechnicianInvoice, TechnicianPunchedTime",Not Set,10/20/2025,Old Structure,Needs Update?
Inspections,RP - Service Reports,LH - Service_Data_Prep,"DF_Inspections, DF_WIP_Report","Job_Code_Times, InTrans_Inspect, RepairOrderDetail, TechnicianPunchedDetail",Not Set,10/20/2025,Old Structure,Needs Update?
Open Work Orders,RP - Service Reports,LH - Service_Data_Prep,"DF_WIP_Report, DF_Technician_Data","RepairOrderDetail, Technician_Code_Names, TechnicianInvoiceDetail, TechnicianPunchedDetail, WkRoFile, AgingReport, ArMaster_Customer",Not Set,10/20/2025,Old Structure,Needs Update?
Planter Inspection Part Sales,RP - Service Reports,LH - Service_Data_Prep,"DF_Planter_Parts, DF_Inspections","Planter_Parts, Planter_Part_List, Planter_With_Inpection_Parts, Planter_Inspection_Parts",Not Set,10/20/2025,Old Structure,Needs migration
WIP,RP - Sandbox,LH - Service_Data_Prep,"DF_WIP_Report, DF_Technician_Data","RepairOrderDetail, Technician_Code_Names, TechnicianInvoiceDetail, TechnicianPunchedDetail",Not Set,10/20/2025,Old Structure,"Still sitting in Sandbox but there is another report call Open WorkOrders in Service Reports, does this need to move to Service Reports? Update Needed?"
Table and Column Names,RP - Sandbox,Excel,Local C:\Power BI\Data\Data,Table Names-Columns,Not Set,10/20/2025,N/A,Reference report
Parts Promo V2,RP - Sandbox,LH - Parts_Data_Prep,DF_Customer_Anatomy,"InTrans_All_Promo, Parts_Promo",Not Set,10/10/2025,Old Structure,Needs Update?
Customer Anatomy,RP - Sandbox,LH - Parts_Data_Prep,"DF_Customer_Anatomy, One Drive - Kurt","Base_Customer_Info, Service_Data, Parts_Data, Sales_Data_YTD, Sales_Data_PYTD, InTrans_Promo, Engaged Acres",Not Set,10/20/2025,Old Structure,Needs Update?
Key Customers,RP - Sandbox,LH - Parts_Data_Prep,"DF_Key_Customers, DF_Inspections, DF_Customer_Anatomy, One Drive - Kurt","Parts_Data_Key, Service_Data_Key, Sales_Data_Key, Parts_Promo, Job_Code_Times, Engaged Acres",Not Set,10/20/2025,Old Structure,Needs Update?
Inventory Analysis V3,RP - Sandbox,LH_Master_Data,"df_Fact_Inventory, df_Fact_Part_Transactions, df_Fact_Invoice_InventoryAnalysis","Fact_Inventory, Fact_Part_Transactions, Fact_Invoice_InventoryAnalysis",Not Set,10/20/2025,New Structure,Waiting for aproval to move to production
Price Matrix V2,RP - Sandbox,LH_Master_Data,"df_Fact_Inventory, df_Fact_Part_Transactions","Fact_Inventory, Fact_Part_Transactions",Not Set,10/20/2025,New Structure,Do we need to do anything else with this one?
Unique Parts Customers V2,RP - Sandbox,LH_Master_Data,"df_Fact_InTrans_UniqueCustomers, df_Fact_Invoice_UniqueCustomers","Fact_InTrans_UniqueCustomers, Fact_Invoice_UniqueCustomers",Not Set,10/20/2025,New Structure,Do we need to do anything else with this one?
Sparc Inventory Health,RP - Sandbox,Excel,N/A,N/A,Not Set,10/20/2025,N/A,Chart Build for SPARC
First Pass Fill V2,RP - Sandbox,LH_Master_Data,df_Fact_First_Pass_Fill,Fact_FirstPassFill,Not Set,10/20/2025,New Structure,Do we need to do anything else with this one?
Top 50 - Job Codes,RP - Sandbox,LH_Master_Data,df_Fact_Top50_JobCodes,Fact_Top_JobCode_Anaysis,Not Set,10/20/2025,New Structure,"Need to Update, Move to Service?"
